objectid,filename,format,image_thumb,title,Company Name,Headquarters,latitude,longitude,date,rights,rightsstatement,source,sourceurl,Successor company,Predecessor compnay 
Elks4469_1973,https://archive.org/details/Elks4469_1973/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Elks4469_1973,Elks Stores Ltd (1973),Elks Stores Ltd,Toronto ON,43.6532,-79.3832,1973,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Elks4469_1974,https://archive.org/details/Elks4469_1974/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Elks4469_1974,"Elks Stores Ltd - Annual Report, Shareholders Notice (1974)",Elks Stores Ltd,Toronto ON,43.6532,-79.3832,1974,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Elks4469_1975,https://archive.org/details/Elks4469_1975/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Elks4469_1975,Elks Stores Ltd (1975),Elks Stores Ltd,Toronto ON,43.6532,-79.3832,1975,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Elks4469_1976,https://archive.org/details/Elks4469_1976/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Elks4469_1976,Elks Stores Ltd (1976),Elks Stores Ltd,Toronto ON,43.6532,-79.3832,1976,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Elks4469_1977,https://archive.org/details/Elks4469_1977/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Elks4469_1977,Elks Stores Ltd (1977),Elks Stores Ltd,Toronto ON,43.6532,-79.3832,1977,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Elks4469_1978,https://archive.org/details/Elks4469_1978/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Elks4469_1978,Elks Stores Ltd (1978),Elks Stores Ltd,Toronto ON,43.6532,-79.3832,1978,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Fiel2324_1969,https://archive.org/details/Fiel2324_1969/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Fiel2324_1969,Fields Stores Ltd (1969),Fields Stores Ltd,Vancouver BC,49.2827,-123.1207,1969,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Fiel2324_1971,https://archive.org/details/Fiel2324_1971/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Fiel2324_1971,Fields Stores Ltd (1971),Fields Stores Ltd,Vancouver BC,49.2827,-123.1207,1971,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Fiel2324_1972,https://archive.org/details/Fiel2324_1972/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Fiel2324_1972,Fields Stores Ltd (1972),Fields Stores Ltd,Vancouver BC,49.2827,-123.1207,1972,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Fiel2324_1973,https://archive.org/details/Fiel2324_1973/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Fiel2324_1973,Fields Stores Ltd (1973),Fields Stores Ltd,Vancouver BC,49.2827,-123.1207,1973,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Henr5011_1949,https://archive.org/details/Henr5011_1949/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Henr5011_1949,Henry Morgan & Company Ltd - Prospectus (1949),Henry Morgan & Company Ltd,Montreal QC,45.5019,-73.5674,1949,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,Successor: The Morgan's department store operated under the Morgan name until 1972 when it was acquired by the Hudson's Bay Company.,
Henr5011_1951,https://archive.org/details/Henr5011_1951/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Henr5011_1951,Henry Morgan & Company Ltd - Prospectus (1951),Henry Morgan & Company Ltd,Montreal QC,45.5019,-73.5674,1951,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,Successor: The Morgan's department store operated under the Morgan name until 1972 when it was acquired by the Hudson's Bay Company.,
Huds1478_1966,https://archive.org/details/Huds1478_1966/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1966,Hudson's Bay Company (1966),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1966,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1967,https://archive.org/details/Huds1478_1967/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1967,Hudson's Bay Company (1967),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1967,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1968,https://archive.org/details/Huds1478_1968/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1968,Hudson's Bay Company (1968),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1968,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1969,https://archive.org/details/Huds1478_1969/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1969,Hudson's Bay Company (1969),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1969,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1970,https://archive.org/details/Huds1478_1970/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1970,Hudson's Bay Company (1970),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1970,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1971,https://archive.org/details/Huds1478_1971/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1971,Hudson's Bay Company (1971),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1971,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1972,https://archive.org/details/Huds1478_1972/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1972,Hudson's Bay Company (1972),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1972,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1973,https://archive.org/details/Huds1478_1973/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1973,Hudson's Bay Company (1973),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1973,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1974,https://archive.org/details/Huds1478_1974/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1974,Hudson's Bay Company (1974),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1974,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1975,https://archive.org/details/Huds1478_1975/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1975,Hudson's Bay Company (1975),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1975,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1976,https://archive.org/details/Huds1478_1976/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1976,Hudson's Bay Company (1976),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1976,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1977,https://archive.org/details/Huds1478_1977/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1977,Hudson's Bay Company (1977),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1977,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1978,https://archive.org/details/Huds1478_1978/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1978,Hudson's Bay Company (1978),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1978,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1982,https://archive.org/details/Huds1478_1982/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1982,Hudson's Bay Company (1982),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1982,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1983,https://archive.org/details/Huds1478_1983/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1983,Hudson's Bay Company (1983),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1983,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds1478_1984,https://archive.org/details/Huds1478_1984/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds1478_1984,Hudson's Bay Company (1984),Hudson's Bay Company,Winnipeg MB,49.8954,-97.1385,1984,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Huds3729_2001,https://archive.org/details/Huds3729_2001/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Huds3729_2001,Hudson's Bay Company (2001),Hudson's Bay Company,Toronto ON,43.6532,-79.3832,2001,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Peop1438_1969,https://archive.org/details/Peop1438_1969/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Peop1438_1969,Peoples Department Stores Ltd (1969),Peoples Department Stores Ltd,Montreal QC,45.5019,-73.5674,1969,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Peop1438_1971,https://archive.org/details/Peop1438_1971/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Peop1438_1971,Peoples Department Stores Ltd - Listing Statement (1971),Peoples Department Stores Ltd,Montreal QC,45.5019,-73.5674,1971,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Peop1438_1972,https://archive.org/details/Peop1438_1972/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Peop1438_1972,Peoples Department Stores Ltd (1972),Peoples Department Stores Ltd,Montreal QC,45.5019,-73.5674,1972,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Peop1438_1977,https://archive.org/details/Peop1438_1977/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Peop1438_1977,Peoples Department Stores Ltd (1977),Peoples Department Stores Ltd,Montreal QC,45.5019,-73.5674,1977,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Sear3613_1996,https://archive.org/details/Sear3613_1996/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Sear3613_1996,Sears Canada Inc (1996),Sears Canada Inc,Toronto ON,43.6532,-79.3832,1996,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Sear3613_1999,https://archive.org/details/Sear3613_1999/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Sear3613_1999,Sears Canada Inc (1999),Sears Canada Inc,Toronto ON,43.6532,-79.3832,1999,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Sear3613_2001,https://archive.org/details/Sear3613_2001/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Sear3613_2001,Sears Canada Inc (2001),Sears Canada Inc,Toronto ON,43.6532,-79.3832,2001,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Shir3619_1999,https://archive.org/details/Shir3619_1999/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Shir3619_1999,Shirmax Fashions Ltd (1999),Shirmax Fashions Ltd,Montreal QC,45.5019,-73.5674,1999,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Shir3619_2000,https://archive.org/details/Shir3619_2000/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Shir3619_2000,Shirmax Fashions Ltd (2000),Shirmax Fashions Ltd,Montreal QC,45.5019,-73.5674,2000,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Silk1156_1965,https://archive.org/details/Silk1156_1965/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Silk1156_1965,Silknit Ltd (1965),Silknit Ltd,Toronto ON,43.6532,-79.3832,1965,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Silk1156_1966,https://archive.org/details/Silk1156_1966/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Silk1156_1966,Silknit Ltd (1966),Silknit Ltd,Toronto ON,43.6532,-79.3832,1966,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Silk1156_1967,https://archive.org/details/Silk1156_1967/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Silk1156_1967,Silknit Ltd (1967),Silknit Ltd,Toronto ON,43.6532,-79.3832,1967,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Silk1156_1968,https://archive.org/details/Silk1156_1968/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Silk1156_1968,Silknit Ltd (1968),Silknit Ltd,Toronto ON,43.6532,-79.3832,1968,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Silk1156_1971,https://archive.org/details/Silk1156_1971/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Silk1156_1971,Silknit Ltd (1971),Silknit Ltd,Toronto ON,43.6532,-79.3832,1971,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Simp1163_1964,https://archive.org/details/Simp1163_1964/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Simp1163_1964,Simpson's Ltd (1964),Simpson's Ltd,Toronto ON,43.6532,-79.3832,1964,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Simp1163_1965,https://archive.org/details/Simp1163_1965/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Simp1163_1965,Simpson's Ltd (1965),Simpson's Ltd,Toronto ON,43.6532,-79.3832,1965,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Simp1163_1966,https://archive.org/details/Simp1163_1966/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Simp1163_1966,Simpson's Ltd (1966),Simpson's Ltd,Toronto ON,43.6532,-79.3832,1966,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Simp1163_1967,https://archive.org/details/Simp1163_1967/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Simp1163_1967,Simpson's Ltd (1967),Simpson's Ltd,Toronto ON,43.6532,-79.3832,1967,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Simp1163_1968,https://archive.org/details/Simp1163_1968/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Simp1163_1968,Simpson's Ltd (1968),Simpson's Ltd,Toronto ON,43.6532,-79.3832,1968,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Simp1163_1969,https://archive.org/details/Simp1163_1969/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Simp1163_1969,Simpson's Ltd (1969),Simpson's Ltd,Toronto ON,43.6532,-79.3832,1969,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Simp1163_1970,https://archive.org/details/Simp1163_1970/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Simp1163_1970,Simpson's Ltd (1970),Simpson's Ltd,Toronto ON,43.6532,-79.3832,1970,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
Simp1163_1971,https://archive.org/details/Simp1163_1971/mode/2up?view=theater,application/pdf,https://archive.org/services/img/Simp1163_1971,Simpson's Ltd (1971),Simpson's Ltd,Toronto ON,43.6532,-79.3832,1971,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,"Lynch Annual Report Collection, University of Alberta Library",https://archive.org/details/larc,,
